iter	RMSE
0	1.16039167
1	1.126203614
2	1.096341655
3	1.066160635
4	1.038045962
5	1.01216454
6	0.9877274285
7	0.9636482423
8	0.9409151223
9	0.9201675347
10	0.9001203222
11	0.8817255826
12	0.8646412908
13	0.8488127116
14	0.8322919524
15	0.818658045
16	0.8053652918
17	0.7926571851
18	0.7808514309
19	0.7685129134
20	0.7586101454
21	0.7479705582
22	0.7376933134
23	0.7282376612
24	0.7196694996
25	0.7119694119
26	0.7058786562
27	0.6991252473
28	0.6914547033
29	0.6847487887
30	0.6786918346
31	0.6726884316
32	0.6676089294
33	0.6627819939
34	0.6580790326
35	0.6534953897
36	0.6492915362
37	0.6453591495
38	0.6418891258
39	0.6391534756
40	0.6354253116
41	0.6320844445
42	0.6290087009
43	0.6265135001
44	0.6232393489
45	0.6205926559
46	0.6184627485
47	0.6163063892
48	0.6141739344
49	0.6114104001
50	0.6091245992
51	0.6070589487
52	0.6053693721
53	0.6034331599
54	0.6018819538
55	0.6002942743
56	0.5987971762
57	0.5974709233
58	0.5963322079
59	0.5945485251
60	0.5932613488
61	0.591863436
62	0.5908879033
63	0.5895981913
64	0.5882337353
65	0.5866416929
66	0.5857453405
67	0.5847615643
68	0.5835632191
69	0.5821560783
70	0.5811765029
71	0.5802635762
72	0.5796855574
73	0.5788496155
74	0.5782177878
75	0.5769256887
76	0.5760334534
77	0.5749721314
78	0.5741795661
79	0.5732900499
80	0.5725494523
81	0.5718808741
82	0.571385196
83	0.5706377222
84	0.5697627247
85	0.5693812274
86	0.5681555329
87	0.5675156988
88	0.5668302889
89	0.5662570568
90	0.5656419352
91	0.5649081059
92	0.5641480885
93	0.5636008037
94	0.5629059145
95	0.5620721583
96	0.5614713375
97	0.5611556867
98	0.5607076591
99	0.5601631879
100	0.5595244102
101	0.5591298732
102	0.5588025876
103	0.5583400061
104	0.5579984015
105	0.5572492644
106	0.5568498125
107	0.5565413199
108	0.5561286884
109	0.5556078374
110	0.5551700505
111	0.5548478038
112	0.554358305
113	0.5540332571
114	0.5534593823
115	0.552882417
116	0.5520641171
117	0.5516179625
118	0.5512503907
119	0.5506518541
120	0.5502074671
121	0.5500191761
122	0.5497042205
123	0.5495126204
124	0.549150271
125	0.548595477
126	0.5477829715
127	0.5474218959
128	0.5467210191
129	0.5465184145
130	0.5461080417
131	0.5456509062
132	0.5451256383
133	0.5446673713
134	0.5442391418
135	0.5440625017
136	0.5434217685
137	0.5430247439
138	0.5424901951
139	0.5417858783
140	0.5413858347
141	0.5409658574
142	0.540537889
143	0.5402234026
144	0.5400522428
145	0.5394449318
146	0.5390633356
147	0.5386553093
148	0.53824275
149	0.5377997972
150	0.5375665063
151	0.5370421783
152	0.5367519548
153	0.5365113745
154	0.5357942735
155	0.5355178568
156	0.5349576072
157	0.5346503598
158	0.5345122728
159	0.5340682572
160	0.5338783856
161	0.533476545
162	0.5333037087
163	0.5331072322
164	0.532721796
165	0.5323481349
166	0.532136536
167	0.5315962225
168	0.5312318267
169	0.5308972219
170	0.5306837164
171	0.5304925604
172	0.5303175126
173	0.5299744958
174	0.5296335697
175	0.5295224178
176	0.5291843878
177	0.5291313948
178	0.5287085265
179	0.5284597352
180	0.5280327276
181	0.5277728166
182	0.5276349344
183	0.5271839333
184	0.5267836757
185	0.5265888641
186	0.5264478268
187	0.5261095956
188	0.526019461
189	0.5259137453
190	0.5255371791
191	0.5251020025
192	0.5249750584
193	0.5246310777
194	0.5241986562
195	0.5239781493
196	0.5234401415
197	0.5232523931
198	0.5231420186
199	0.5229406207
200	0.5227190327
201	0.522629478
202	0.5224406666
203	0.521940878
204	0.5216827247
205	0.5215148918
206	0.521441159
207	0.5210946799
208	0.5208835227
209	0.5205496612
210	0.5203077498
211	0.5198410121
212	0.5195685379
213	0.5194060243
214	0.5191502704
215	0.5190532623
216	0.5189857531
217	0.5188938405
218	0.5188375554
219	0.5184170193
220	0.5182202283
221	0.5181854147
222	0.5181524722
223	0.5179156787
224	0.5175090855
225	0.5174707014
226	0.5171450964
227	0.5170778608
228	0.5167407327
229	0.5166622103
230	0.5164764963
231	0.5164488754
232	0.5160722746
233	0.5156439557
234	0.5154286645
235	0.5148882106
236	0.5148558871
237	0.5148305767
238	0.514375423
239	0.5141141923
240	0.5137190437
241	0.5136714571
242	0.5135618519
243	0.513537282
244	0.513165272
245	0.5126186887
246	0.5123804213
247	0.5123360281
248	0.5119651151
249	0.5119456328
250	0.5116776961
251	0.5116085888
252	0.511587674
253	0.5111993773
254	0.5108276142
255	0.5107874162
256	0.5104772126
257	0.5103206707
258	0.5103032554
259	0.5102592413
260	0.5101039526
261	0.509991981
262	0.5097771061
263	0.5093063319
264	0.5091581211
265	0.5087748917
266	0.5083262117
267	0.5078823008
268	0.5078549144
269	0.5074430562
270	0.5071398935
271	0.5068689128
272	0.5065226231
273	0.5065060809
274	0.5063307832
275	0.5060138761
276	0.5057685831
277	0.5056627701
278	0.5053217335
279	0.5050287715
280	0.5047123774
281	0.504698916
282	0.5045212288
283	0.5044058116
284	0.5042396434
285	0.5042266372
286	0.5039673904
287	0.503663185
288	0.5034203306
289	0.5029155436
290	0.502634753
291	0.5024477095
292	0.5021805728
293	0.5021692944
294	0.5019312117
295	0.5018032511
296	0.5015975876
297	0.5013454566
298	0.5010390579
299	0.5007526906
300	0.5005892036
301	0.5003216604
302	0.5000153125
303	0.5000046399
304	0.4996681255
305	0.4994505022
306	0.4992296785
307	0.4990399304
308	0.4987270221
309	0.4983975898
310	0.4983765262
311	0.4982032403
312	0.4979793379
313	0.497617745
314	0.4971928302
315	0.4967557677
316	0.496744379
317	0.4964909231
318	0.4960568707
319	0.4958112968
320	0.4955877217
321	0.4953077724
322	0.4950129935
323	0.4948474653
324	0.494554564
325	0.4943110376
326	0.4941569918
327	0.4938291333
328	0.4935199685
329	0.4933725484
330	0.4933124262
331	0.4930623591
332	0.4930522467
333	0.492926771
334	0.4929167044
335	0.4927055035
336	0.4925623627
337	0.4922500627
338	0.4920186431
339	0.4917842933
