iter	Passed	Remaining
0	4	4271
1	8	4463
2	13	4345
3	17	4240
4	21	4184
5	24	4063
6	28	4040
7	31	3967
8	34	3845
9	39	3921
10	44	3995
11	47	3893
12	49	3789
13	54	3810
14	57	3749
15	61	3755
16	64	3731
17	68	3752
18	72	3727
19	75	3723
20	78	3670
21	81	3624
22	85	3637
23	87	3563
24	89	3488
25	92	3452
26	93	3381
27	95	3318
28	97	3263
29	99	3206
30	100	3150
31	102	3097
32	104	3047
33	105	3009
34	107	2967
35	109	2931
36	111	2896
37	113	2861
38	114	2825
39	116	2792
40	118	2761
41	119	2732
42	121	2712
43	123	2683
44	125	2668
45	128	2654
46	130	2651
47	132	2630
48	134	2612
49	136	2599
50	138	2576
51	145	2649
52	152	2729
53	159	2800
54	166	2859
55	176	2983
56	185	3071
57	193	3143
58	201	3219
59	210	3297
60	220	3399
61	228	3455
62	236	3510
63	246	3600
64	254	3654
65	259	3678
66	265	3699
67	273	3743
68	281	3802
69	290	3859
70	300	3928
71	306	3947
72	313	3978
73	322	4029
74	331	4089
75	338	4109
76	343	4116
77	350	4145
78	360	4204
79	367	4222
80	374	4251
81	381	4267
82	389	4306
83	396	4326
84	405	4369
85	411	4378
86	419	4403
87	427	4427
88	437	4473
89	445	4505
90	452	4518
91	461	4550
92	466	4553
93	475	4584
94	484	4615
95	493	4645
96	501	4667
97	509	4692
98	518	4721
99	526	4737
100	533	4752
101	539	4747
102	547	4766
103	554	4775
104	562	4793
105	569	4802
106	577	4820
107	585	4834
108	594	4861
109	600	4857
110	609	4883
111	618	4904
112	625	4912
113	630	4899
114	639	4918
115	646	4925
116	655	4946
117	661	4946
118	669	4959
119	676	4961
120	684	4969
121	691	4976
122	699	4984
123	706	4987
124	713	4992
125	722	5008
126	728	5010
127	735	5010
128	740	5000
129	748	5011
130	756	5015
131	763	5018
132	770	5025
133	778	5029
134	785	5031
135	792	5034
136	800	5044
137	806	5040
138	815	5052
139	822	5054
140	828	5048
141	836	5053
