iter	Logloss
0	0.659331009
1	0.6252774849
2	0.5956310594
3	0.5691418637
4	0.5426760703
5	0.5196756499
6	0.4990282957
7	0.4783723994
8	0.4616380676
9	0.4430755464
10	0.428269699
11	0.4142467213
12	0.4002658049
13	0.3859690066
14	0.3737245409
15	0.3638315299
16	0.3538775151
17	0.3434871235
18	0.3335941799
19	0.3248790118
20	0.3181030377
21	0.3108334004
22	0.3033420103
23	0.2978656419
24	0.2911375365
25	0.2851140893
26	0.2801732869
27	0.2749330253
28	0.2696775505
29	0.2658301341
30	0.26150561
31	0.2578277298
32	0.2540481285
33	0.2506167832
34	0.2473592821
35	0.2451215875
36	0.2419067331
37	0.2389991378
38	0.236473693
39	0.2345634986
40	0.232101036
41	0.2301138931
42	0.2279939894
43	0.2262821808
44	0.2248783829
45	0.2230825876
46	0.2213857201
47	0.2201560739
48	0.2187777768
49	0.2170611052
50	0.2155230874
51	0.2143688516
52	0.2132432764
53	0.2120973831
54	0.2109609711
55	0.2097949235
56	0.2087771535
57	0.2079963653
58	0.207152081
59	0.2062847187
60	0.2054351707
61	0.2045478605
62	0.203711287
63	0.2029632891
64	0.2022251122
65	0.2015635811
66	0.2011034821
67	0.2005801014
68	0.1999585337
69	0.1993411347
70	0.1989148841
71	0.1984040555
72	0.1979826085
73	0.1977564432
74	0.1972677603
75	0.1967740916
76	0.196366358
77	0.1960418862
78	0.1957548565
79	0.1954046249
80	0.1950819424
81	0.1947022314
82	0.1943746197
83	0.1940434755
84	0.1938877519
85	0.1935696573
86	0.1932699448
87	0.1930103131
88	0.1926166429
89	0.1923347996
90	0.1920671014
91	0.1918657819
92	0.1915935696
93	0.1913410165
94	0.1911090124
95	0.1908270589
96	0.1906554311
97	0.1905257887
98	0.1904260598
99	0.1901559193
100	0.1898773998
101	0.1896871542
102	0.1895116443
103	0.1893865405
104	0.1892010224
105	0.1890462891
106	0.1889032122
107	0.1887615018
108	0.1885453678
109	0.1882594612
110	0.1881167853
111	0.1880222902
112	0.1878973645
113	0.1877402541
114	0.1875421725
115	0.1873704534
116	0.1872780149
117	0.1871011969
118	0.186916956
119	0.1868018242
120	0.186685353
121	0.1865172299
122	0.1863947996
123	0.1862263437
124	0.1860705746
125	0.1858625944
126	0.1857270018
127	0.1856175955
128	0.1855300503
129	0.1854171644
130	0.1853353899
131	0.1851659244
132	0.1850689004
133	0.1849515093
134	0.1848666088
135	0.1847577134
136	0.1846437142
137	0.1844598612
138	0.1843335089
139	0.184194424
140	0.184017597
141	0.1839230069
142	0.1838436801
143	0.1837335537
144	0.1836443728
145	0.1835898826
146	0.1834583856
147	0.1833472403
148	0.1831978155
149	0.1830807402
150	0.1829793654
151	0.1828496513
152	0.1827740596
153	0.1826804166
154	0.1825279298
155	0.1824428267
156	0.182376903
157	0.1822452191
158	0.1821890251
159	0.1820608366
160	0.1819614741
161	0.1819090948
162	0.1818369028
163	0.1817053089
164	0.1815598877
165	0.1814126906
166	0.1812965835
167	0.1812077642
168	0.1811676555
169	0.1810746379
170	0.1809905173
171	0.180927025
172	0.1808600478
173	0.1807762357
174	0.1806899549
175	0.180628248
176	0.1805171215
177	0.180411427
178	0.1802927263
179	0.1802078705
180	0.1801286739
181	0.1800325529
182	0.179931061
183	0.1797831943
184	0.1797253388
185	0.1796526669
186	0.1795274411
187	0.1794704579
188	0.1793813924
189	0.1793429214
190	0.179258744
191	0.1791866633
192	0.1791059835
193	0.1789949463
194	0.178919077
195	0.1788448874
196	0.1786944449
197	0.1785975596
198	0.1785567714
199	0.1784874627
200	0.1784346519
201	0.1783713277
202	0.1783190826
203	0.1782605757
204	0.1781586842
205	0.1781024138
206	0.1780289615
207	0.1779044816
208	0.177839586
209	0.177762984
210	0.1777197177
211	0.1776708929
212	0.1775833945
213	0.1774809822
214	0.1774236265
215	0.1773344081
216	0.1772415918
217	0.1771803371
218	0.1771006636
219	0.1770528274
220	0.1769998889
221	0.1768877138
222	0.1768255797
223	0.1767208157
224	0.1766231812
225	0.1765206969
226	0.1764897676
227	0.1763967334
228	0.1762985212
229	0.17621048
230	0.1761331637
231	0.1760625332
232	0.176019961
233	0.175922856
234	0.1758870934
235	0.175809877
236	0.1756896873
237	0.1756170182
238	0.1755745428
239	0.1755322989
240	0.1754418246
241	0.1753638489
242	0.1753199479
243	0.1752595884
244	0.1752189256
245	0.1751487117
246	0.1751140876
247	0.1750554559
248	0.1750044678
249	0.1749852267
250	0.1748974144
251	0.1748562756
252	0.1748108294
253	0.1747525986
254	0.1746883659
255	0.1746522742
256	0.1745200674
257	0.1744375681
258	0.1743862305
259	0.1743228778
260	0.1742359443
261	0.174178482
262	0.1741358954
263	0.1740721533
264	0.1740084771
265	0.173901597
266	0.1738476052
267	0.1738021573
268	0.17373667
269	0.1736532177
270	0.1736105104
271	0.1735075659
272	0.1734565235
273	0.1733955429
274	0.1733224873
275	0.1732293943
276	0.1731651526
277	0.1731081296
278	0.1730255609
279	0.1729526559
280	0.1728430745
281	0.1727019106
282	0.1726781632
283	0.1726234456
284	0.1725584916
285	0.1724681104
286	0.1724239776
287	0.1723718857
288	0.172317028
289	0.1722559611
290	0.1722202549
291	0.1721776598
292	0.1721264594
293	0.1720225594
294	0.1719631954
295	0.1718992561
296	0.1717971713
297	0.1717584634
298	0.1717176132
299	0.1716588148
300	0.1715703184
301	0.1715077578
302	0.1714403863
303	0.1714202337
304	0.1713607168
305	0.1712775951
306	0.1712357711
307	0.171200614
308	0.1711290148
309	0.1710963041
310	0.1709982004
311	0.1709543018
312	0.1709083082
313	0.1708154348
314	0.170751978
315	0.1707059643
316	0.1706333055
317	0.1705868834
318	0.1705102176
319	0.1704371858
320	0.1704041
321	0.1703174824
322	0.1702438529
323	0.170184707
324	0.1701432332
325	0.1700818847
326	0.1700034857
327	0.1699627227
328	0.1699224037
329	0.1698240845
330	0.169747466
331	0.1697015491
332	0.1696475042
333	0.1695882908
334	0.1695179896
335	0.1694784159
336	0.1694392448
337	0.1693616883
338	0.1693397661
339	0.1693013318
340	0.1692225531
341	0.1691508144
342	0.1690828958
343	0.168999635
344	0.1689147543
345	0.1688143193
346	0.1687827573
347	0.1687201771
348	0.1686536398
349	0.1685866067
350	0.1685126314
351	0.1684625321
352	0.1684063308
353	0.1683532483
354	0.1682657646
355	0.1681873835
356	0.1681580875
357	0.1680799878
358	0.1680250965
359	0.1679855155
360	0.167920857
361	0.167843745
362	0.1678257798
363	0.1677530573
364	0.167675793
365	0.1675985067
366	0.1675070757
367	0.1674457191
368	0.1673698015
